Geography,Reference period,Total all types of electricity generation (Megawatt hours),Hydraulic turbine (Megawatt hours),Conventional steam turbine (Megawatt hours),Nuclear steam turbine (Megawatt hours),Internal combustion turbine (Megawatt hours),Combustion turbine (Megawatt hours),Total electricity production from combustible fuels (Megawatt hours),Total electricity production from non-renewable combustible fuels (Megawatt hours),Total electricity production from biomass (Megawatt hours),Tidal power turbine (Megawatt hours),Wind power turbine (Megawatt hours),Solar (Megawatt hours),Other types of electricity generation (Megawatt hours),,,,,
Newfoundland and Labrador,44307.00,3450570.00,3300828.00,0.00,0.00,0.00,0.00,131434.00,128997.00,2437.00,0.00,18308.00,0.00,0.00,,,,,
Newfoundland and Labrador,44337.00,3035378.00,2938348.00,0.00,0.00,0.00,0.00,79577.00,76230.00,3347.00,0.00,17453.00,0.00,0.00,,,,,
Newfoundland and Labrador,44368.00,2563074.00,2508251.00,0.00,0.00,0.00,0.00,41885.00,39495.00,2390.00,0.00,12938.00,0.00,0.00,,,,,
Newfoundland and Labrador,44398.00,2506284.00,2477457.00,0.00,0.00,0.00,0.00,16859.00,14177.00,2682.00,0.00,11968.00,0.00,0.00,,,,,
Newfoundland and Labrador,44429.00,2499754.00,2457828.00,0.00,0.00,0.00,0.00,30081.00,27932.00,2149.00,0.00,11845.00,0.00,0.00,,,,,
Prince Edward Island,44307.00,54450.00,0.00,0.00,0.00,0.00,0.00,491.00,119.00,372.00,0.00,53908.00,51.00,0.00,,,,,
Prince Edward Island,44337.00,50974.00,0.00,0.00,0.00,0.00,0.00,444.00,42.00,402.00,0.00,50461.00,69.00,0.00,,,,,
Prince Edward Island,44368.00,45272.00,0.00,0.00,0.00,0.00,0.00,384.00,120.00,264.00,0.00,44817.00,71.00,0.00,,,,,
Prince Edward Island,44398.00,32432.00,0.00,0.00,0.00,0.00,0.00,268.00,32.00,236.00,0.00,32105.00,59.00,0.00,,,,,
Prince Edward Island,44429.00,32829.00,0.00,0.00,0.00,0.00,0.00,322.00,67.00,255.00,0.00,32437.00,70.00,0.00,,,,,
Nova Scotia,44307.00,681770.00,120135.00,0.00,0.00,0.00,0.00,446157.00,420154.00,26003.00,0.00,115478.00,0.00,0.00,,,,,
Nova Scotia,44337.00,655406.00,90151.00,0.00,0.00,0.00,0.00,468761.00,440313.00,28448.00,0.00,96494.00,0.00,0.00,,,,,
Nova Scotia,44368.00,595561.00,63984.00,0.00,0.00,0.00,0.00,435282.00,405778.00,29504.00,0.00,96295.00,0.00,0.00,,,,,
Nova Scotia,44398.00,668025.00,30310.00,0.00,0.00,0.00,0.00,569685.00,535161.00,34524.00,0.00,68030.00,0.00,0.00,,,,,
Nova Scotia,44429.00,699678.00,17575.00,0.00,0.00,0.00,0.00,624835.00,593988.00,30847.00,0.00,57268.00,0.00,0.00,,,,,
New Brunswick,44307.00,1150241.00,498891.00,0.00,259405.00,0.00,0.00,317240.00,282032.00,35208.00,0.00,74705.00,0.00,0.00,,,,,
New Brunswick,44337.00,1013085.00,343735.00,0.00,492195.00,0.00,0.00,112127.00,70591.00,41536.00,0.00,65028.00,0.00,0.00,,,,,
New Brunswick,44368.00,920906.00,163213.00,0.00,473860.00,0.00,0.00,229849.00,172538.00,57311.00,0.00,53984.00,0.00,0.00,,,,,
New Brunswick,44398.00,887563.00,123047.00,0.00,476437.00,0.00,0.00,245577.00,191651.00,53926.00,0.00,42502.00,0.00,0.00,,,,,
New Brunswick,44429.00,823705.00,66982.00,0.00,481464.00,0.00,0.00,243412.00,194240.00,49172.00,0.00,31847.00,0.00,0.00,,,,,
Quebec,44307.00,15987038.00,15047779.00,0.00,0.00,0.00,0.00,170203.00,69963.00,100240.00,0.00,768921.00,135.00,0.00,,,,,
Quebec,44337.00,15514680.00,14495388.00,0.00,0.00,0.00,0.00,167872.00,76434.00,91438.00,0.00,851275.00,145.00,0.00,,,,,
Quebec,44368.00,15633537.00,14639422.00,0.00,0.00,0.00,0.00,148540.00,62487.00,86053.00,0.00,845419.00,156.00,0.00,,,,,
Quebec,44398.00,16412180.00,15573159.00,0.00,0.00,0.00,0.00,176049.00,61713.00,114336.00,0.00,661632.00,1340.00,0.00,,,,,
Quebec,44429.00,17113196.00,16315324.00,0.00,0.00,0.00,0.00,176820.00,65243.00,111577.00,0.00,619880.00,1172.00,0.00,,,,,
Ontario,44307.00,11339137.00,2927633.00,0.00,6655444.00,0.00,0.00,421924.00,311875.00,110049.00,0.00,1055442.00,278694.00,0.00,,,,,
Ontario,44337.00,11768744.00,2983190.00,0.00,7064109.00,0.00,0.00,604589.00,504229.00,100360.00,0.00,823039.00,293817.00,0.00,,,,,
Ontario,44368.00,12620338.00,2469329.00,0.00,7433375.00,0.00,0.00,1499528.00,1388911.00,110617.00,0.00,957185.00,260921.00,0.00,,,,,
Ontario,44398.00,12928826.00,2977221.00,0.00,7739602.00,0.00,0.00,1269420.00,1164063.00,105357.00,0.00,698837.00,243746.00,0.00,,,,,
Ontario,44429.00,13795191.00,2747962.00,0.00,7589203.00,0.00,0.00,2597269.00,2488202.00,109067.00,0.00,593153.00,267604.00,0.00,,,,,
Manitoba,44307.00,2632629.00,2527216.00,0.00,0.00,0.00,0.00,11002.00,2492.00,8510.00,0.00,94165.00,246.00,0.00,,,,,
Manitoba,44337.00,2869499.00,2777733.00,0.00,0.00,0.00,0.00,7802.00,1988.00,5814.00,0.00,83669.00,295.00,0.00,,,,,
Manitoba,44368.00,2748788.00,2675702.00,0.00,0.00,0.00,0.00,7474.00,1626.00,5848.00,0.00,65321.00,291.00,0.00,,,,,
Manitoba,44398.00,2375273.00,2316154.00,0.00,0.00,0.00,0.00,7970.00,1793.00,6177.00,0.00,50839.00,310.00,0.00,,,,,
Manitoba,44429.00,1850705.00,1783169.00,0.00,0.00,0.00,0.00,4419.00,2751.00,1668.00,0.00,62767.00,350.00,0.00,,,,,
Saskatchewan,44307.00,1982664.00,271234.00,0.00,0.00,0.00,0.00,1635661.00,1634584.00,1077.00,0.00,66124.00,0.00,9645.00,,,,,
Saskatchewan,44337.00,1968838.00,234236.00,0.00,0.00,0.00,0.00,1663087.00,1662239.00,848.00,0.00,61947.00,0.00,9568.00,,,,,
Saskatchewan,44368.00,1967982.00,247145.00,0.00,0.00,0.00,0.00,1654486.00,1653456.00,1030.00,0.00,59486.00,0.00,6865.00,,,,,
Saskatchewan,44398.00,2034099.00,212119.00,0.00,0.00,0.00,0.00,1772985.00,1771800.00,1185.00,0.00,41888.00,231.00,6876.00,,,,,
Saskatchewan,44429.00,2007717.00,211051.00,0.00,0.00,0.00,0.00,1735178.00,1734098.00,1080.00,0.00,52411.00,188.00,8889.00,,,,,
Alberta,44307.00,5482314.00,144460.00,0.00,0.00,0.00,0.00,4727804.00,4595300.00,132504.00,0.00,592289.00,12005.00,5756.00,,,,,
Alberta,44337.00,5665864.00,189323.00,0.00,0.00,0.00,0.00,5014675.00,4874372.00,140303.00,0.00,425407.00,34131.00,2328.00,,,,,
Alberta,44368.00,6101459.00,229282.00,0.00,0.00,0.00,0.00,5444537.00,5293848.00,150689.00,0.00,385384.00,38679.00,3577.00,,,,,
Alberta,44398.00,6030745.00,259238.00,0.00,0.00,0.00,0.00,5490628.00,5336753.00,153875.00,0.00,244833.00,35595.00,451.00,,,,,
Alberta,44429.00,6351250.00,250880.00,0.00,0.00,0.00,0.00,5665594.00,5521058.00,144536.00,0.00,398352.00,30853.00,5571.00,,,,,
British Columbia,44307.00,5674224.00,4914025.00,0.00,0.00,0.00,0.00,620302.00,226652.00,393650.00,0.00,139362.00,535.00,0.00,,,,,
British Columbia,44337.00,5460311.00,4888014.00,0.00,0.00,0.00,0.00,454773.00,145701.00,309072.00,0.00,116836.00,688.00,0.00,,,,,
British Columbia,44368.00,5632610.00,5087141.00,0.00,0.00,0.00,0.00,423720.00,108550.00,315170.00,0.00,121258.00,491.00,0.00,,,,,
British Columbia,44398.00,5960266.00,5317466.00,0.00,0.00,0.00,0.00,546314.00,246434.00,299880.00,0.00,95927.00,559.00,0.00,,,,,
British Columbia,44429.00,5058194.00,4294594.00,0.00,0.00,0.00,0.00,629900.00,268863.00,361037.00,0.00,133254.00,446.00,0.00,,,,,
Yukon,44307.00,45233.00,42325.00,0.00,0.00,0.00,0.00,2908.00,2908.00,0.00,0.00,0.00,0.00,0.00,,,,,
Yukon,44337.00,37229.00,35144.00,0.00,0.00,0.00,0.00,2085.00,2085.00,0.00,0.00,0.00,0.00,0.00,,,,,
Yukon,44368.00,41108.00,39772.00,0.00,0.00,0.00,0.00,1336.00,1336.00,0.00,0.00,0.00,0.00,0.00,,,,,
Yukon,44398.00,34501.00,33020.00,0.00,0.00,0.00,0.00,1481.00,1481.00,0.00,0.00,0.00,0.00,0.00,,,,,
Yukon,44429.00,38575.00,36872.00,0.00,0.00,0.00,0.00,1703.00,1703.00,0.00,0.00,0.00,0.00,0.00,,,,,
Northwest Territories,44307.00,59144.00,20787.00,0.00,0.00,0.00,0.00,36145.00,36145.00,0.00,0.00,2168.00,44.00,0.00,,,,,
Northwest Territories,44337.00,54742.00,19462.00,0.00,0.00,0.00,0.00,33937.00,33937.00,0.00,0.00,1315.00,28.00,0.00,,,,,
Northwest Territories,44368.00,55017.00,18776.00,0.00,0.00,0.00,0.00,34467.00,34467.00,0.00,0.00,1738.00,36.00,0.00,,,,,
