geography,reference_period,total_all_types_of_electricity_generation_gigawatt_hours,hydraulic_turbine_gigawatt_hours,conventional_steam_turbine_gigawatt_hours,nuclear_steam_turbine_gigawatt_hours,internal_combustion_turbine_gigawatt_hours,combustion_turbine_gigawatt_hours,total_electricity_production_from_combustible_fuels_gigawatt_hours,total_electricity_production_from_non-renewable_combustible_fuels_gigawatt_hours,total_electricity_production_from_biomass_gigawatt_hours,tidal_power_turbine_gigawatt_hours,wind_power_turbine_gigawatt_hours,solar_gigawatt_hours,other_types_of_electricity_generation_gigawatt_hours
Newfoundland and Labrador,21-Apr,3450.57,3300.83,0.00,0.00,0.00,0.00,131.43,129.00,2.44,0.00,18.31,0.00,0.00
Newfoundland and Labrador,21-May,3035.38,2938.35,0.00,0.00,0.00,0.00,79.58,76.23,3.35,0.00,17.45,0.00,0.00
Newfoundland and Labrador,21-Jun,2563.07,2508.25,0.00,0.00,0.00,0.00,41.89,39.50,2.39,0.00,12.94,0.00,0.00
Newfoundland and Labrador,21-Jul,2506.28,2477.46,0.00,0.00,0.00,0.00,16.86,14.18,2.68,0.00,11.97,0.00,0.00
Newfoundland and Labrador,21-Aug,2499.75,2457.83,0.00,0.00,0.00,0.00,30.08,27.93,2.15,0.00,11.85,0.00,0.00
Prince Edward Island,21-Apr,54.45,0.00,0.00,0.00,0.00,0.00,0.49,0.12,0.37,0.00,53.91,0.05,0.00
Prince Edward Island,21-May,50.97,0.00,0.00,0.00,0.00,0.00,0.44,0.04,0.40,0.00,50.46,0.07,0.00
Prince Edward Island,21-Jun,45.27,0.00,0.00,0.00,0.00,0.00,0.38,0.12,0.26,0.00,44.82,0.07,0.00
Prince Edward Island,21-Jul,32.43,0.00,0.00,0.00,0.00,0.00,0.27,0.03,0.24,0.00,32.11,0.06,0.00
Prince Edward Island,21-Aug,32.83,0.00,0.00,0.00,0.00,0.00,0.32,0.07,0.26,0.00,32.44,0.07,0.00
Nova Scotia,21-Apr,681.77,120.14,0.00,0.00,0.00,0.00,446.16,420.15,26.00,0.00,115.48,0.00,0.00
Nova Scotia,21-May,655.41,90.15,0.00,0.00,0.00,0.00,468.76,440.31,28.45,0.00,96.49,0.00,0.00
Nova Scotia,21-Jun,595.56,63.98,0.00,0.00,0.00,0.00,435.28,405.78,29.50,0.00,96.30,0.00,0.00
Nova Scotia,21-Jul,668.03,30.31,0.00,0.00,0.00,0.00,569.69,535.16,34.52,0.00,68.03,0.00,0.00
Nova Scotia,21-Aug,699.68,17.58,0.00,0.00,0.00,0.00,624.84,593.99,30.85,0.00,57.27,0.00,0.00
New Brunswick,21-Apr,1150.24,498.89,0.00,259.41,0.00,0.00,317.24,282.03,35.21,0.00,74.71,0.00,0.00
New Brunswick,21-May,1013.09,343.74,0.00,492.20,0.00,0.00,112.13,70.59,41.54,0.00,65.03,0.00,0.00
New Brunswick,21-Jun,920.91,163.21,0.00,473.86,0.00,0.00,229.85,172.54,57.31,0.00,53.98,0.00,0.00
New Brunswick,21-Jul,887.56,123.05,0.00,476.44,0.00,0.00,245.58,191.65,53.93,0.00,42.50,0.00,0.00
New Brunswick,21-Aug,823.71,66.98,0.00,481.46,0.00,0.00,243.41,194.24,49.17,0.00,31.85,0.00,0.00
Quebec,21-Apr,15987.04,15047.78,0.00,0.00,0.00,0.00,170.20,69.96,100.24,0.00,768.92,0.14,0.00
Quebec,21-May,15514.68,14495.39,0.00,0.00,0.00,0.00,167.87,76.43,91.44,0.00,851.28,0.15,0.00
Quebec,21-Jun,15633.54,14639.42,0.00,0.00,0.00,0.00,148.54,62.49,86.05,0.00,845.42,0.16,0.00
Quebec,21-Jul,16412.18,15573.16,0.00,0.00,0.00,0.00,176.05,61.71,114.34,0.00,661.63,1.34,0.00
Quebec,21-Aug,17113.20,16315.32,0.00,0.00,0.00,0.00,176.82,65.24,111.58,0.00,619.88,1.17,0.00
Ontario,21-Apr,11339.14,2927.63,0.00,6655.44,0.00,0.00,421.92,311.88,110.05,0.00,1055.44,278.69,0.00
Ontario,21-May,11768.74,2983.19,0.00,7064.11,0.00,0.00,604.59,504.23,100.36,0.00,823.04,293.82,0.00
Ontario,21-Jun,12620.34,2469.33,0.00,7433.38,0.00,0.00,1499.53,1388.91,110.62,0.00,957.19,260.92,0.00
Ontario,21-Jul,12928.83,2977.22,0.00,7739.60,0.00,0.00,1269.42,1164.06,105.36,0.00,698.84,243.75,0.00
Ontario,21-Aug,13795.19,2747.96,0.00,7589.20,0.00,0.00,2597.27,2488.20,109.07,0.00,593.15,267.60,0.00
Manitoba,21-Apr,2632.63,2527.22,0.00,0.00,0.00,0.00,11.00,2.49,8.51,0.00,94.17,0.25,0.00
Manitoba,21-May,2869.50,2777.73,0.00,0.00,0.00,0.00,7.80,1.99,5.81,0.00,83.67,0.30,0.00
Manitoba,21-Jun,2748.79,2675.70,0.00,0.00,0.00,0.00,7.47,1.63,5.85,0.00,65.32,0.29,0.00
Manitoba,21-Jul,2375.27,2316.15,0.00,0.00,0.00,0.00,7.97,1.79,6.18,0.00,50.84,0.31,0.00
Manitoba,21-Aug,1850.71,1783.17,0.00,0.00,0.00,0.00,4.42,2.75,1.67,0.00,62.77,0.35,0.00
Saskatchewan,21-Apr,1982.66,271.23,0.00,0.00,0.00,0.00,1635.66,1634.58,1.08,0.00,66.12,0.00,9.65
Saskatchewan,21-May,1968.84,234.24,0.00,0.00,0.00,0.00,1663.09,1662.24,0.85,0.00,61.95,0.00,9.57
Saskatchewan,21-Jun,1967.98,247.15,0.00,0.00,0.00,0.00,1654.49,1653.46,1.03,0.00,59.49,0.00,6.87
Saskatchewan,21-Jul,2034.10,212.12,0.00,0.00,0.00,0.00,1772.99,1771.80,1.19,0.00,41.89,0.23,6.88
Saskatchewan,21-Aug,2007.72,211.05,0.00,0.00,0.00,0.00,1735.18,1734.10,1.08,0.00,52.41,0.19,8.89
Alberta,21-Apr,5482.31,144.46,0.00,0.00,0.00,0.00,4727.80,4595.30,132.50,0.00,592.29,12.01,5.76
Alberta,21-May,5665.86,189.32,0.00,0.00,0.00,0.00,5014.68,4874.37,140.30,0.00,425.41,34.13,2.33
Alberta,21-Jun,6101.46,229.28,0.00,0.00,0.00,0.00,5444.54,5293.85,150.69,0.00,385.38,38.68,3.58
Alberta,21-Jul,6030.75,259.24,0.00,0.00,0.00,0.00,5490.63,5336.75,153.88,0.00,244.83,35.60,0.45
Alberta,21-Aug,6351.25,250.88,0.00,0.00,0.00,0.00,5665.59,5521.06,144.54,0.00,398.35,30.85,5.57
British Columbia,21-Apr,5674.22,4914.03,0.00,0.00,0.00,0.00,620.30,226.65,393.65,0.00,139.36,0.54,0.00
British Columbia,21-May,5460.31,4888.01,0.00,0.00,0.00,0.00,454.77,145.70,309.07,0.00,116.84,0.69,0.00
British Columbia,21-Jun,5632.61,5087.14,0.00,0.00,0.00,0.00,423.72,108.55,315.17,0.00,121.26,0.49,0.00
British Columbia,21-Jul,5960.27,5317.47,0.00,0.00,0.00,0.00,546.31,246.43,299.88,0.00,95.93,0.56,0.00
British Columbia,21-Aug,5058.19,4294.59,0.00,0.00,0.00,0.00,629.90,268.86,361.04,0.00,133.25,0.45,0.00
Yukon,21-Apr,45.23,42.33,0.00,0.00,0.00,0.00,2.91,2.91,0.00,0.00,0.00,0.00,0.00
Yukon,21-May,37.23,35.14,0.00,0.00,0.00,0.00,2.09,2.09,0.00,0.00,0.00,0.00,0.00
Yukon,21-Jun,41.11,39.77,0.00,0.00,0.00,0.00,1.34,1.34,0.00,0.00,0.00,0.00,0.00
Yukon,21-Jul,34.50,33.02,0.00,0.00,0.00,0.00,1.48,1.48,0.00,0.00,0.00,0.00,0.00
